MonthNumeric,MonthFactor,Year,CamrySales,Unemployment,CamryQueries,CPIAll,CPIEnergy,MilesTraveled
1,January,2008,31601,5,40,212.174,226.775,253376
2,February,2008,34914,4.9,41,212.687,229.731,250551
3,March,2008,40487,5.1,51,213.448,233.349,248981
4,April,2008,40016,5,47,213.942,234.778,249101
5,May,2008,51291,5.4,54,215.208,243.924,248415
6,June,2008,41572,5.6,56,217.463,262.081,246701
7,July,2008,42131,5.8,55,219.016,271.149,245645
8,August,2008,44064,6.1,49,218.69,262.566,244681
9,Septeber,2008,29486,6.1,39,218.877,260.125,245948
10,October,2008,30556,6.5,55,216.995,238.065,246795
11,November,2008,25224,6.8,35,213.153,195.155,246244
12,Decemeber,2008,25275,7.3,38,211.398,176.583,246829
1,January,2009,20782,7.8,40,211.933,178.661,245974
2,February,2009,20634,8.3,38,212.705,183.721,248466
3,March,2009,25783,8.7,38,212.495,178.415,244904
4,April,2009,25324,9,39,212.709,177.552,247873
5,May,2009,31325,9.4,43,213.022,179.83,246794
6,June,2009,26394,9.5,43,214.79,197.033,246498
7,July,2009,33974,9.5,44,214.726,195.778,247534
8,August,2009,54396,9.6,49,215.445,201.583,246986
9,Septeber,2009,25745,9.8,43,215.861,202.777,246455
10,October,2009,30136,10,41,216.509,204.719,244074
11,November,2009,27385,9.9,39,217.234,210.932,246232
12,Decemeber,2009,34946,9.9,39,217.347,209.915,244784
1,January,2010,15792,9.8,44,217.488,212.807,242519
2,February,2010,16552,9.8,41,217.281,209.624,241803
3,March,2010,36251,9.9,41,217.353,209.326,248076
4,April,2010,27914,9.9,37,217.403,209.219,249112
5,May,2010,29295,9.6,39,217.29,206.631,247042
6,June,2010,28435,9.4,41,217.199,203.764,247723
7,July,2010,35058,9.4,42,217.605,206.877,249293
8,August,2010,30764,9.5,38,217.923,208.77,249208
9,Septeber,2010,30518,9.5,38,218.275,209.832,249084
10,October,2010,25014,9.4,37,219.035,216.71,249386
11,November,2010,20737,9.8,37,219.59,219.496,247614
12,Decemeber,2010,31223,9.3,35,220.472,227.13,245054
1,January,2011,18145,9.1,45,221.187,229.258,246965
2,February,2011,27212,9,48,221.898,232.068,245208
3,March,2011,31464,9,49,223.046,240.079,246519
4,April,2011,30443,9.1,50,224.093,247.977,245553
5,May,2011,18830,9,49,224.806,250.744,243131
6,June,2011,21375,9.1,51,224.806,245.534,245757
7,July,2011,27016,9,54,225.395,246.187,245196
8,August,2011,30185,9,68,226.106,246.88,244641
9,Septeber,2011,24851,9,56,226.597,248.55,245393
10,October,2011,22043,8.8,56,226.75,246.655,245952
11,November,2011,21440,8.6,56,227.169,247.64,246579
12,Decemeber,2011,33506,8.5,52,227.223,243.353,249896
1,January,2012,28295,8.3,57,227.842,244.876,249790
2,February,2012,34542,8.3,58,228.329,248.898,250746
3,March,2012,42567,8.2,56,228.807,249.742,249737
4,April,2012,36820,8.2,56,229.187,249.677,246547
5,May,2012,39571,8.2,55,228.713,241.806,248096
6,June,2012,32107,8.2,55,228.524,235.897,247577
7,July,2012,29913,8.2,56,228.59,233.568,245308
8,August,2012,36720,8.1,57,229.918,244.987,246538
9,Septeber,2012,34252,7.8,55,231.015,252.987,245805
10,October,2012,29926,7.8,52,231.638,256.017,245176
11,November,2012,28765,7.7,50,231.249,248.819,247779
12,Decemeber,2012,31407,7.9,48,231.221,244.708,245651
1,January,2013,31897,8,51,231.679,245.025,250411
2,February,2013,31270,7.7,51,232.937,255.696,249845
3,March,2013,37663,7.5,56,232.282,246.595,248349
4,April,2013,31710,7.6,52,231.797,240.473,247844
5,May,2013,39216,7.5,54,231.893,240.468,249071
6,June,2013,35870,7.5,57,232.445,242.711,249233
7,July,2013,34780,7.3,60,232.9,242.986,247384
8,August,2013,44713,7.2,60,233.456,244.833,250869
9,Septeber,2013,31871,7.2,53,233.544,242.745,249145
10,October,2013,29144,7.2,51,233.669,241.954,249407
11,November,2013,30386,6.9,51,234.1,242.718,249394
12,Decemeber,2013,29964,6.7,49,234.719,245.733,245957
1,January,2014,23332,6.6,52,235.288,250.34,246531
2,February,2014,28998,6.7,53,235.547,249.925,249499
3,March,2014,41953,6.7,58,236.028,249.961,251120
4,April,2014,38009,6.2,67,236.468,249.864,251959
5,May,2014,49584,6.3,61,236.918,249.213,252289
6,June,2014,40664,6.1,62,237.231,249.714,252054
7,July,2014,39888,6.2,63,237.498,248.744,252111
8,August,2014,44043,6.1,63,237.46,245.699,252472
9,Septeber,2014,28507,5.9,60,237.477,241.61,253485
10,October,2014,33164,5.7,67,237.43,237.061,254117
11,November,2014,28846,5.8,60,236.983,229.016,253099
12,Decemeber,2014,31618,5.6,58,236.252,218.536,255291
1,January,2015,26763,5.7,57,234.747,199.926,254967
2,February,2015,32942,5.5,56,235.342,203.021,254414
3,March,2015,40800,5.4,63,235.976,205.757,255735
4,April,2015,34066,5.4,61,236.222,203.577,257796
5,May,2015,43837,5.6,62,237.001,208.973,257531
6,June,2015,37408,5.3,64,237.657,212.015,258177
7,July,2015,38435,5.2,70,238.034,211.623,258012
8,August,2015,37592,5.1,69,238.033,208.579,259020
9,Septeber,2015,34487,5,61,237.498,197.246,258671
10,October,2015,34781,5,57,237.733,195.616,257672
11,November,2015,30945,5.1,57,238.017,195.114,260006
12,Decemeber,2015,37299,5,56,237.761,190.143,261788
1,January,2016,26848,4.8,62,237.652,185.235,262611
2,February,2016,32405,4.9,64,237.336,176.401,261752
3,March,2016,36991,5,68,238.08,182.234,262392
4,April,2016,34039,5.1,61,238.992,186.713,264735
5,May,2016,36916,4.8,66,239.557,188.596,264565
6,June,2016,32561,4.9,69,240.222,192.899,264364
7,July,2016,34122,4.8,71,240.101,189.046,265645
8,August,2016,32864,4.9,71,240.545,188.772,264145
9,Septeber,2016,30707,5,71,241.176,192.243,263573
10,October,2016,29562,4.9,63,241.741,195.979,266664
11,November,2016,28189,4.7,61,242.026,196.372,265314
12,Decemeber,2016,33412,4.7,61,242.637,199.513,267135
1,January,2017,20313,4.7,74,243.618,205.369,266509
2,February,2017,27498,4.6,69,244.006,204.133,265234
3,March,2017,35648,4.4,72,243.892,202.528,265123
4,April,2017,31428,4.5,69,244.193,202.954,270670
5,May,2017,32547,4.4,73,244.004,198.449,266153
6,June,2017,29463,4.3,80,244.163,197.808,266376
7,July,2017,33827,4.3,88,244.243,195.994,269548
8,August,2017,37051,4.4,82,245.183,201.45,267211
9,Septeber,2017,34732,4.2,94,246.435,212.723,266506
10,October,2017,26252,4.1,82,246.626,208.328,268718
11,November,2017,34991,4.2,78,247.284,213.047,268212
12,Decemeber,2017,43331,4.1,79,247.805,213.574,272319
1,January,2018,24638,4,81,248.743,216.872,268361
2,February,2018,30865,4.1,83,249.439,220.381,267857
3,March,2018,35264,4,84,249.581,216.925,268556
4,April,2018,29848,4,82,250.146,218.268,273320
5,May,2018,29965,3.8,87,250.779,220.632,267556
6,June,2018,28215,4,90,251.118,221.473,269325
7,July,2018,26311,3.8,91,251.323,219.758,270452
8,August,2018,30141,3.8,92,251.749,222.435,267900
9,Septeber,2018,27640,3.7,84,252.239,223.444,269877
10,October,2018,26914,3.8,80,252.862,226.462,270155
11,November,2018,24545,3.8,76,252.657,219.267,269052
12,Decemeber,2018,29093,3.9,78,252.551,212.633,277525
1,January,2019,23802,4,81,252.47,205.54,273421
2,February,2019,24267,3.8,82,253.135,208.699,272141
3,March,2019,33615,3.8,86,254.273,216.376,270920
4,April,2019,29227,3.7,80,255.163,221.758,271928
5,May,2019,36208,3.7,84,255.325,219.68,271676
6,June,2019,28889,3.6,83,255.361,214.666,269353
7,July,2019,27134,3.6,87,255.9,215.85,269606
8,August,2019,31986,3.7,87,256.179,213.169,276508
9,Septeber,2019,23328,3.5,81,256.596,213.122,274195
10,October,2019,26602,3.6,83,257.305,216.62,272669
11,November,2019,25611,3.6,78,257.788,217.435,269800
12,Decemeber,2019,26309,3.6,76,258.263,219.786,269023
1,January,2020,24824,3.5,79,258.682,217.803,285452
2,February,2020,29245,3.5,81,259.007,214.119,284040
3,March,2020,23119,4.4,60,258.165,203.912,224870
4,April,2020,8768,14.8,53,256.094,182.889,167174
5,May,2020,19484,13.3,72,255.944,179.542,204304
6,June,2020,20459,11.1,82,257.217,188.437,235771
7,July,2020,22792,10.2,89,258.543,192.556,242159
8,August,2020,27892,8.4,82,259.58,194.285,251358
9,Septeber,2020,28362,7.8,74,260.19,196.875,254995
10,October,2020,29666,6.9,81,260.352,196.435,255505
11,November,2020,29373,6.7,72,260.721,196.359,248198
12,Decemeber,2020,30364,6.7,70,261.564,203.649,249061
1,January,2021,21771,6.3,76,262.2,209.328,258907
2,February,2021,23839,6.2,78,263.346,218.944,253624
3,March,2021,32541,6,92,265.028,231.127,267337
4,April,2021,29939,6.1,91,266.727,228.374,264108
5,May,2021,37676,5.8,91,268.599,229.874,268886
6,June,2021,31905,5.9,89,270.955,234.625,272791
7,July,2021,32959,5.4,87,272.184,238.447,274184
8,August,2021,27033,5.2,90,273.092,242.958,272447
9,Septeber,2021,19106,4.7,85,274.214,245.847,274621
10,October,2021,17691,4.6,85,276.59,255.01,275442
11,November,2021,19261,4.2,80,278.524,261.257,275411
12,Decemeber,2021,20074,3.9,76,280.126,263.553,274615
1,January,2022,19665,4,83,281.933,265.929,268800
2,February,2022,15612,3.8,92,284.182,275.17,274645
3,March,2022,26228,3.6,100,287.708,305.469,272387
4,April,2022,26323,3.6,93,288.663,297.233,269795
5,May,2022,24905,3.6,91,291.474,308.839,270700
6,June,2022,23192,3.6,100,295.328,332.087,267971
